Ticket name,College,City
General Registration,BANGALORE,Bangalore
General Registration,Indian Institute of Science Education and Research Tirupati,Tirupati
Big Data,Indian Institute of Science Education and Research Tirupati,Tirupati
Big Data,"St. Joseph College, Bangalore",Bangalore
Big Data,St.Joseph College Bangalore,Bangalore
Big Data,"St.Joseph's College,Bangalore",Bangalore
Cyber Forensics,National Institute of Technology Meghalaya,Guntur
Cyber Forensics,National Institute of Technology Meghalaya,Guntur
Cyber Forensics,National Institute of Technology Meghalaya,Guntur
Big Data,Vidyavardhaka College of Engineering Mysore,Mysore
Big Data,St. Joseph's College(Autonomus),Bangalore
Big Data,Bangalore,Bangalore
Big Data,Bangalore,Bangalore
Internet of Things,"RVR&JC COLLEGE OF ENGINEERING , GUNTUR",Guntur
Internet of Things,"RVR&JC COLLEGE OF ENGINEERING , GUNTUR",Guntur
Big Data,"St.Joseph's College, Bangalore.",Bangalore
Big Data,ST JOSEPHS /BANGALORE,Bangalore
Big Data,St. Joseph's College,Bangalore
Big Data,St. Joseph's College,Bangalore
Internet of Things,"RVR & JC COLLEGE OF ENGINEERING, GUNTUR",Guntur
Internet of Things,"RVR&JC COLLEGE OF ENGINEERING , GUNTUR",Guntur
Internet of Things,"RVR&JC COLLEGE OF ENGINNERING , GUNTUR",Guntur
Internet of Things,RVR&JC COLLEGE OF ENGINEERING,Guntur
Internet of Things,RVR&JC COLLEGE OF ENGINEERING,Guntur
Android Controlled Robotics,RVR&JC College of Engineering,Guntur
Game Development using Virtual Reality,Sri Jayachamarajendra college of engineering,Mysore
Game Development using Virtual Reality,BMS college of engineering,Bangalore
Game Development using Virtual Reality,Vidya vikas college of engineering,Bangalore
Big Data,NITTE MEENAKSHI INSTITUTE OF TECHNOLOGY,Bangalore
Internet of Things,Sir M Visvesvaraya Institute Of Technology,Bangalore
Internet of Things,Sir M. Visvesvaraya Institute of Technology,Bangalore
Android Controlled Robotics,RVR@JC College of Engineering,Guntur
Internet of Things,Sir M Visveshvarya Institute Of Technology/ Bangalore,Bangalore
Android Controlled Robotics,RVR&JC College of Engineering,Guntur
Internet of Things,RVR and JCCE,Guntur
Internet of Things,R.V.R & J.C.COLLEGE OF ENGINEERING,Guntur
Internet of Things,Amrita School of Arts and Sciences/Mysore,Mysore
Internet of Things,Rvr&jc college of engineering/guntur,Guntur
Internet of Things,Rvr&jc College of engineering/guntur,Guntur
Internet of Things,RVR&JCCE,Guntur
Internet of Things,RVR&JCCE,Guntur
Internet of Things,RVR&JCCE,Guntur
Internet of Things,guntur,Guntur
Internet of Things,guntur,Guntur
Internet of Things,guntur,Guntur
Internet of Things,guntur,Guntur
Internet of Things,guntur,Guntur
Internet of Things,guntur,Guntur
Internet of Things,guntur,Guntur
Internet of Things,guntur,Guntur
Internet of Things,guntur,Guntur
Internet of Things,guntur,Guntur
